DateTime,XBOX,PS,PC
9/21/2018 0:00,296667,147000,415000
9/22/2018 0:00,308241,174769,427250
9/23/2018 0:00,316930,229500,438833
9/24/2018 0:00,329768,251655,444833
9/25/2018 0:00,334016,259391,472167
9/26/2018 0:00,319150,299300,571167
9/27/2018 0:00,319704,329186,534000
9/28/2018 0:00,302550,301620,468500
9/29/2018 0:00,313493,309282,504421
9/30/2018 0:00,327187,326438,498391
10/1/2018 0:00,325988,331812,469724
10/2/2018 0:00,344484,345532,489545
10/3/2018 0:00,332782,343646,469000
10/4/2018 0:00,325479,341657,453125
10/5/2018 0:00,338584,355844,466750
10/6/2018 0:00,348163,356953,484929
10/7/2018 0:00,340790,356021,474842
10/8/2018 0:00,336120,355653,447200
10/9/2018 0:00,349183,375402,467261
10/10/2018 0:00,357849,379051,466421
10/11/2018 0:00,356630,379149,454529
10/12/2018 0:00,377884,402260,485885
10/13/2018 0:00,375000,394122,494636
10/14/2018 0:00,370778,389744,495675
10/15/2018 0:00,365970,389040,487500
10/16/2018 0:00,366343,397032,498472
10/17/2018 0:00,368982,401390,502260
10/18/2018 0:00,373850,398276,498122
10/19/2018 0:00,390685,418951,529354
10/20/2018 0:00,393400,419760,563171
10/21/2018 0:00,386903,414537,544714
10/22/2018 0:00,385977,416829,532537
10/23/2018 0:00,387598,422331,545650
10/24/2018 0:00,386939,427824,563853
10/25/2018 0:00,392817,428280,548051
10/26/2018 0:00,406233,450295,556977
10/27/2018 0:00,394587,434477,563500
10/28/2018 0:00,385328,418820,554096
10/29/2018 0:00,376957,407706,550338
10/30/2018 0:00,375711,408977,545385
10/31/2018 0:00,369229,406118,533541
11/1/2018 0:00,372288,405315,530091
11/2/2018 0:00,384985,419238,542382
11/3/2018 0:00,387515,421315,547156
11/4/2018 0:00,369600,402754,547440
11/5/2018 0:00,355021,389315,542970
11/6/2018 0:00,336479,370750,515156
11/7/2018 0:00,337694,381597,504667
11/8/2018 0:00,353278,390193,518301
11/9/2018 0:00,354951,393142,510826
11/10/2018 0:00,346113,383936,497632
11/11/2018 0:00,326650,369341,478581
11/12/2018 0:00,327702,371676,489795
11/13/2018 0:00,328507,372643,486646
11/14/2018 0:00,317604,369030,483877
11/15/2018 0:00,315035,368344,482350
11/16/2018 0:00,320769,373750,483455
11/17/2018 0:00,305340,354380,479969
11/18/2018 0:00,289986,341271,469141
11/19/2018 0:00,295854,348139,468871
11/20/2018 0:00,296194,351763,472883
11/21/2018 0:00,301769,356764,479136
11/22/2018 0:00,307622,363314,480214
11/23/2018 0:00,313803,369826,484886
11/24/2018 0:00,336931,387111,502859
11/25/2018 0:00,333608,386187,507536
11/26/2018 0:00,333624,386919,508945
11/27/2018 0:00,344118,394935,505500
11/28/2018 0:00,356542,399482,514224
11/29/2018 0:00,361257,409269,521491
11/30/2018 0:00,373881,416321,534667
12/1/2018 0:00,364552,403248,528351
12/2/2018 0:00,354479,397740,518467
12/3/2018 0:00,354217,398785,513397
12/4/2018 0:00,358785,401141,515620
12/5/2018 0:00,358208,402544,516486
12/6/2018 0:00,364389,402792,518983
12/7/2018 0:00,359604,396934,515081
12/8/2018 0:00,343118,384489,491839
12/9/2018 0:00,323139,369721,478888
12/10/2018 0:00,321147,365817,474240
12/11/2018 0:00,322826,368568,470228
12/12/2018 0:00,315786,359992,448127
12/13/2018 0:00,322083,368521,439898
12/14/2018 0:00,318894,361631,423750
12/15/2018 0:00,303701,341261,401717
12/16/2018 0:00,293923,326832,389422
12/17/2018 0:00,281007,311782,381574
12/18/2018 0:00,288292,319706,390606
