DateTime,XBOX,PS,PC
9/21/2018 0:00,871714,628400,1200000
9/22/2018 0:00,957652,798298,1308167
9/23/2018 0:00,976422,963238,1310000
9/24/2018 0:00,1011511,881126,1221667
9/25/2018 0:00,938558,748189,1420222
9/26/2018 0:00,940857,809339,1245200
9/27/2018 0:00,907388,863042,1330000
9/28/2018 0:00,865281,791032,1432286
9/29/2018 0:00,849873,773513,1222500
9/30/2018 0:00,858980,790520,1104333
10/1/2018 0:00,860586,789214,1076344
10/2/2018 0:00,857724,811120,1048917
10/3/2018 0:00,833685,792677,1052000
10/4/2018 0:00,853633,805779,1032700
10/5/2018 0:00,862883,807413,921429
10/6/2018 0:00,860000,808670,961263
10/7/2018 0:00,856000,807631,967519
10/8/2018 0:00,836383,806231,954727
10/9/2018 0:00,854878,825664,977000
10/10/2018 0:00,859059,839278,946037
10/11/2018 0:00,861881,842822,999813
10/12/2018 0:00,881226,881217,1013714
10/13/2018 0:00,864855,855176,1030250
10/14/2018 0:00,860657,854684,1042033
10/15/2018 0:00,862011,854277,1002919
10/16/2018 0:00,871045,863049,1044696
10/17/2018 0:00,871787,874414,1084123
10/18/2018 0:00,870604,866154,1098171
10/19/2018 0:00,886484,888983,1084130
10/20/2018 0:00,890806,892648,1079927
10/21/2018 0:00,888567,894398,1066816
10/22/2018 0:00,883947,901603,1083350
10/23/2018 0:00,886542,909183,1067150
10/24/2018 0:00,885659,912076,1091450
10/25/2018 0:00,877789,902596,1118037
10/26/2018 0:00,901147,920098,1101719
10/27/2018 0:00,888672,903750,1141857
10/28/2018 0:00,874103,893896,1130866
10/29/2018 0:00,874489,893508,1106161
10/30/2018 0:00,864745,894165,1130791
10/31/2018 0:00,863843,889547,1180200
11/1/2018 0:00,866846,887830,1107517
11/2/2018 0:00,876516,906677,1116421
11/3/2018 0:00,884112,905792,1125190
11/4/2018 0:00,865106,888622,1114377
11/5/2018 0:00,845357,868290,1096222
11/6/2018 0:00,824573,844906,1068136
11/7/2018 0:00,820640,838566,1070831
11/8/2018 0:00,819821,855829,1050404
11/9/2018 0:00,807398,853236,1066735
11/10/2018 0:00,799352,841431,1054227
11/11/2018 0:00,784471,823923,1042736
11/12/2018 0:00,777035,830796,1013898
11/13/2018 0:00,771329,831403,1022192
11/14/2018 0:00,762630,827229,1007377
11/15/2018 0:00,761104,826296,1011341
11/16/2018 0:00,778070,837321,1011509
11/17/2018 0:00,759455,832154,1031129
11/18/2018 0:00,748201,822743,1026250
11/19/2018 0:00,759556,826500,1015783
11/20/2018 0:00,764528,829396,1028017
11/21/2018 0:00,765636,824810,1059655
11/22/2018 0:00,760368,824137,1045745
11/23/2018 0:00,771299,834810,1052186
11/24/2018 0:00,800024,859623,1056800
11/25/2018 0:00,796852,855507,1069796
11/26/2018 0:00,803604,858961,1064961
11/27/2018 0:00,817127,882254,1091609
11/28/2018 0:00,832421,894240,1089983
11/29/2018 0:00,839873,910605,1096481
11/30/2018 0:00,859868,920725,1105596
12/1/2018 0:00,859819,909464,1139942
12/2/2018 0:00,848524,898000,1123745
12/3/2018 0:00,851543,903645,1100507
12/4/2018 0:00,852500,909049,1093943
12/5/2018 0:00,845901,908143,1090851
12/6/2018 0:00,852203,910724,1097488
12/7/2018 0:00,861104,911904,1102627
12/8/2018 0:00,877691,919772,1135961
12/9/2018 0:00,878299,919538,1144163
12/10/2018 0:00,880035,926559,1115963
12/11/2018 0:00,880848,927008,1125750
12/12/2018 0:00,873296,921495,1107980
12/13/2018 0:00,870000,924467,1098906
12/14/2018 0:00,880614,925259,1107908
12/15/2018 0:00,849754,895524,1115074
12/16/2018 0:00,830108,881290,1100000
12/17/2018 0:00,835896,889291,1058507
12/18/2018 0:00,840657,893657,1062567
12/19/2018 0:00,842378,894632,1060129
12/20/2018 0:00,852271,911367,1083047
12/21/2018 0:00,867551,924734,1141776
12/22/2018 0:00,867962,914553,1125267
12/23/2018 0:00,865029,911729,1090597
12/24/2018 0:00,852826,905409,1095122
12/25/2018 0:00,849589,898793,1080453
12/26/2018 0:00,854660,907479,1090704
12/27/2018 0:00,865460,907734,1095667
12/28/2018 0:00,871583,914296,1121968
12/29/2018 0:00,862306,897752,1143603
12/30/2018 0:00,845063,879209,1094740
12/31/2018 0:00,834132,877145,1069000
1/1/2019 0:00,835147,878965,1095391
1/2/2019 0:00,821153,873077,1107263
1/3/2019 0:00,804653,865528,1091744
1/4/2019 0:00,811618,851147,1083133
1/5/2019 0:00,812847,850410,1069906
1/6/2019 0:00,800271,843688,1072480
1/7/2019 0:00,797833,850489,1068754
1/8/2019 0:00,811910,859347,1094970
1/9/2019 0:00,801092,841992,1057214
1/10/2019 0:00,799081,834852,1021750
1/11/2019 0:00,804198,853080,1034661
1/12/2019 0:00,788961,832180,1026635
1/13/2019 0:00,799086,839899,1040933
1/14/2019 0:00,800029,852801,1063955
1/15/2019 0:00,806290,871591,1103480
1/16/2019 0:00,802357,861228,1094119
1/17/2019 0:00,797380,864387,1078712
1/18/2019 0:00,794624,856656,1099889
1/19/2019 0:00,751269,822546,1067842
1/20/2019 0:00,730926,799681,1077869
1/21/2019 0:00,709156,789558,1055974
1/22/2019 0:00,705700,779171,1041905
1/23/2019 0:00,698657,768556,1011915
1/24/2019 0:00,696853,778421,1017820
1/25/2019 0:00,705918,785023,1022952
1/26/2019 0:00,701336,777757,1005478
1/27/2019 0:00,695590,776271,997083
1/28/2019 0:00,701799,771340,998443
1/29/2019 0:00,693563,772229,1003149
1/30/2019 0:00,685014,767819,988882
1/31/2019 0:00,697880,776697,990235
2/1/2019 0:00,694171,774643,995547
2/2/2019 0:00,690270,769451,993644
2/3/2019 0:00,685280,762063,986341
2/4/2019 0:00,672601,751507,978933
2/5/2019 0:00,656732,733035,965395
2/6/2019 0:00,655127,730243,944800
2/7/2019 0:00,653632,735137,934026
2/8/2019 0:00,660511,731441,938730
2/9/2019 0:00,654986,723657,942228
2/10/2019 0:00,652138,720061,928898
2/11/2019 0:00,645450,715029,935625
2/12/2019 0:00,641390,701957,928931
2/13/2019 0:00,621818,685242,915785
2/14/2019 0:00,607235,679152,920129
2/15/2019 0:00,593189,662458,908161
2/16/2019 0:00,576349,621946,834235
2/17/2019 0:00,561959,603282,826889
2/18/2019 0:00,548581,597626,813250
2/19/2019 0:00,553014,600860,829653
2/20/2019 0:00,560066,608104,832675
2/21/2019 0:00,568743,626267,835136
2/22/2019 0:00,584103,629619,854500
2/23/2019 0:00,588523,631674,849232
2/24/2019 0:00,594750,645390,848942
2/25/2019 0:00,598636,654587,863423
2/26/2019 0:00,603278,669121,858671
2/27/2019 0:00,607132,673514,879416
2/28/2019 0:00,623819,688573,895866
3/1/2019 0:00,628217,691619,878739
3/2/2019 0:00,625716,686711,889420
3/3/2019 0:00,616611,676467,871435
3/4/2019 0:00,599585,668340,860861
3/5/2019 0:00,600914,670293,852527
3/6/2019 0:00,591904,658888,854983
3/7/2019 0:00,594779,664125,842020
3/8/2019 0:00,574541,639271,829222
3/9/2019 0:00,547613,610820,810617
3/10/2019 0:00,537864,591610,802471
3/11/2019 0:00,533063,593135,809506
3/12/2019 0:00,523868,589360,808183
3/13/2019 0:00,513923,578504,788000
3/14/2019 0:00,526146,593430,794803
3/15/2019 0:00,543465,610064,798708
3/16/2019 0:00,545888,606777,790721
3/17/2019 0:00,538979,597343,774787
3/18/2019 0:00,553000,606366,792598
3/19/2019 0:00,551606,605688,783746
3/20/2019 0:00,531895,587500,769806
3/21/2019 0:00,510368,577638,737773
3/22/2019 0:00,500399,556390,707919
3/23/2019 0:00,495340,547510,702566
3/24/2019 0:00,499500,554722,712628
3/25/2019 0:00,492910,544245,694391
3/26/2019 0:00,487382,537427,707747
3/27/2019 0:00,489778,539972,699111
3/28/2019 0:00,495986,548028,696740
3/29/2019 0:00,496069,555798,709448
3/30/2019 0:00,480203,525741,689468
3/31/2019 0:00,478391,518563,694939
4/1/2019 0:00,477744,515095,685778
4/2/2019 0:00,475278,519063,694603
4/3/2019 0:00,481854,532104,703570
4/4/2019 0:00,492125,546324,717105
4/5/2019 0:00,500825,560817,724077
4/6/2019 0:00,497831,559408,715110
4/7/2019 0:00,499715,556979,705208
4/8/2019 0:00,499972,561289,714775
4/9/2019 0:00,502333,566755,718814
4/10/2019 0:00,499943,566259,727742
4/11/2019 0:00,512611,576817,747985
4/12/2019 0:00,516556,579582,745617
4/13/2019 0:00,515813,573917,746328
4/14/2019 0:00,510587,563590,742907
4/15/2019 0:00,499813,559693,744220
4/16/2019 0:00,502660,557964,739750
4/17/2019 0:00,505902,559970,741633
4/18/2019 0:00,500908,560770,750302
4/19/2019 0:00,507780,571042,753452
4/20/2019 0:00,511284,570112,744800
4/21/2019 0:00,509522,565948,741857
4/22/2019 0:00,500797,556689,737111
4/23/2019 0:00,496881,550385,736077
4/24/2019 0:00,483347,533993,718357
4/25/2019 0:00,486549,533000,693500
4/26/2019 0:00,486826,536167,706100
4/27/2019 0:00,480951,524399,699441
4/28/2019 0:00,474722,508576,658000
4/29/2019 0:00,444427,487787,648550
4/30/2019 0:00,432993,472563,624045
5/1/2019 0:00,433979,487250,598000
5/2/2019 0:00,474257,522500,627617
5/3/2019 0:00,494021,538944,656758
5/4/2019 0:00,496840,535986,676063
5/5/2019 0:00,480643,521153,660837
5/6/2019 0:00,471976,502567,635364
5/7/2019 0:00,457875,486826,623104
5/8/2019 0:00,422479,458958,597688
5/9/2019 0:00,401347,437535,582161
5/10/2019 0:00,398653,432646,566575
5/11/2019 0:00,399511,435664,537172
5/12/2019 0:00,390653,422972,531750
5/13/2019 0:00,384567,407007,509560
5/14/2019 0:00,382246,410705,517774
5/15/2019 0:00,386056,408714,513481
5/16/2019 0:00,391492,425678,531385
5/17/2019 0:00,393401,429971,537038
5/18/2019 0:00,386170,418093,536067
5/19/2019 0:00,380056,413417,521833
5/20/2019 0:00,376778,407135,521324
5/21/2019 0:00,372138,401625,515323
5/22/2019 0:00,337440,381263,497567
5/23/2019 0:00,342307,382688,496765
5/24/2019 0:00,356152,394496,487115
5/25/2019 0:00,364976,398200,508364
5/26/2019 0:00,355879,385812,493235
5/27/2019 0:00,348813,380533,502423
5/28/2019 0:00,349392,388171,501667
5/29/2019 0:00,339203,383214,491267
5/30/2019 0:00,346762,388782,494111
5/31/2019 0:00,365535,401603,510261
6/1/2019 0:00,372101,398210,514304
6/2/2019 0:00,364556,394765,519222
6/3/2019 0:00,363390,393157,506500
6/4/2019 0:00,370654,396681,498833
6/5/2019 0:00,374620,397028,498130
6/6/2019 0:00,383923,415153,517000
6/7/2019 0:00,391688,423956,521095
6/8/2019 0:00,380321,408696,506619
6/9/2019 0:00,367846,393566,493962
6/10/2019 0:00,359158,390211,483300
6/11/2019 0:00,359348,385584,480348
6/12/2019 0:00,346436,378214,487818
6/13/2019 0:00,351804,374627,478364
6/14/2019 0:00,358440,381879,487000
6/15/2019 0:00,345256,366398,459500
6/16/2019 0:00,335379,355741,445174
6/17/2019 0:00,326324,346561,440455
6/18/2019 0:00,320333,339029,431500
6/19/2019 0:00,304239,321813,406760
6/20/2019 0:00,309914,328730,401235
6/21/2019 0:00,321590,339331,420333
6/22/2019 0:00,314391,327685,401556
6/23/2019 0:00,301545,311217,398429
6/24/2019 0:00,298035,304248,395731
6/25/2019 0:00,283211,290475,386739
6/26/2019 0:00,254362,257648,373760
6/27/2019 0:00,266270,279165,379476
6/28/2019 0:00,284761,292514,381969
6/29/2019 0:00,272844,280169,380290
6/30/2019 0:00,267211,280296,371050
7/1/2019 0:00,271326,283297,363459
