DateTime,XBOX,PS,PC
9/19/2019 0:00,2403683,2021655,2275000
9/20/2019 0:00,1847126,1937247,2509667
9/21/2019 0:00,1857185,2004061,2651333
9/22/2019 0:00,1854168,2018963,2474667
9/23/2019 0:00,1932755,2007879,2483333
9/24/2019 0:00,1823990,1965349,2468333
9/25/2019 0:00,1754851,1907222,2030000
9/26/2019 0:00,1706096,1837793,2069500
9/27/2019 0:00,1655773,1738803,1906500
9/28/2019 0:00,1505800,1731452,2012667
9/29/2019 0:00,1481531,1711818,1968333
9/30/2019 0:00,1444542,1644354,1852800
10/1/2019 0:00,1394148,1657125,1925833
10/2/2019 0:00,1458731,1668056,1920800
10/3/2019 0:00,1481409,1694950,1832667
10/4/2019 0:00,1463800,1629721,1759250
10/5/2019 0:00,1407889,1592724,1695667
10/6/2019 0:00,1397077,1568480,1711750
10/7/2019 0:00,1406417,1571360,1679600
10/8/2019 0:00,1445053,1591030,1749167
10/9/2019 0:00,1442268,1609268,1778226
10/10/2019 0:00,1453514,1629375,1794700
10/11/2019 0:00,1445481,1629247,1739022
10/12/2019 0:00,1443268,1594746,1714163
10/13/2019 0:00,1422375,1573413,1715326
10/14/2019 0:00,1405486,1582500,1729949
10/15/2019 0:00,1420140,1603859,1792854
10/16/2019 0:00,1441000,1620064,1794021
10/17/2019 0:00,1481070,1646526,1841875
10/18/2019 0:00,1498775,1664562,1824512
10/19/2019 0:00,1488128,1650403,1795162
10/20/2019 0:00,1475541,1653114,1832600
10/21/2019 0:00,1469744,1641811,1835579
10/22/2019 0:00,1466950,1636611,1846514
10/23/2019 0:00,1426737,1596878,1801902
10/24/2019 0:00,1407406,1587474,1761000
10/25/2019 0:00,1438219,1597359,1769931
10/26/2019 0:00,1419588,1578757,1774286
10/27/2019 0:00,1397575,1554750,1761138
10/28/2019 0:00,1389108,1548500,1712529
10/29/2019 0:00,1402405,1550641,1686724
10/30/2019 0:00,1399306,1553879,1729069
10/31/2019 0:00,1400848,1571241,1740667
11/1/2019 0:00,1410622,1584984,1723543
11/2/2019 0:00,1405972,1570516,1709118
11/3/2019 0:00,1386486,1558154,1703257
11/4/2019 0:00,1394263,1570686,1723216
11/5/2019 0:00,1393389,1571514,1726189
11/6/2019 0:00,1388912,1561225,1739375
11/7/2019 0:00,1390912,1566119,1744321
11/8/2019 0:00,1368257,1537062,1753700
11/9/2019 0:00,1341529,1500017,1725355
11/10/2019 0:00,1291364,1452515,1679067
11/11/2019 0:00,1249405,1422929,1607531
11/12/2019 0:00,1240057,1406026,1615107
11/13/2019 0:00,1244657,1405691,1601857
11/14/2019 0:00,1259806,1413824,1595645
11/15/2019 0:00,1269500,1425676,1600846
11/16/2019 0:00,1244935,1408953,1581762
11/17/2019 0:00,1225414,1388391,1573737
11/18/2019 0:00,1232200,1401761,1580706
11/19/2019 0:00,1251647,1417384,1585800
11/20/2019 0:00,1251563,1430232,1625333
11/21/2019 0:00,1256519,1442292,1636909
11/22/2019 0:00,1270650,1452303,1648000
11/23/2019 0:00,1214875,1369985,1595414
11/24/2019 0:00,1168900,1344288,1542710
11/25/2019 0:00,1180217,1364188,1563875
11/26/2019 0:00,1181053,1381400,1568577
11/27/2019 0:00,1180882,1379186,1575087
11/28/2019 0:00,1187667,1381645,1561630
11/29/2019 0:00,1205333,1393538,1570719
11/30/2019 0:00,1253435,1420016,1583852
12/1/2019 0:00,1230739,1401942,1576455
12/2/2019 0:00,1231593,1406727,1583865
12/3/2019 0:00,1248867,1416058,1584513
12/4/2019 0:00,1257323,1423877,1590857
12/5/2019 0:00,1262296,1426246,1591333
12/6/2019 0:00,1242100,1391806,1565867
12/7/2019 0:00,1159933,1305229,1490941
12/8/2019 0:00,1090595,1237413,1346652
12/9/2019 0:00,1069945,1194354,1300420
12/10/2019 0:00,1045907,1179563,1253852
12/11/2019 0:00,1018429,1173026,1222522
12/12/2019 0:00,1019935,1167933,1247175
12/13/2019 0:00,1012131,1155902,1251750
12/14/2019 0:00,966929,1084129,1211381
12/15/2019 0:00,956362,1055488,1163784
12/16/2019 0:00,945804,1031120,1115592
12/17/2019 0:00,921603,1020793,1094630
12/18/2019 0:00,916288,1020892,1099194
12/19/2019 0:00,932229,1042171,1103256
12/20/2019 0:00,940029,1044676,1138343
12/21/2019 0:00,925298,1024114,1124541
12/22/2019 0:00,902244,988972,1075095
12/23/2019 0:00,885298,989836,1075081
12/24/2019 0:00,879465,982056,1055140
12/25/2019 0:00,856163,952606,1025485
12/26/2019 0:00,850073,945269,1023056
12/27/2019 0:00,864288,952314,1026618
12/28/2019 0:00,845746,916939,1003605
12/29/2019 0:00,801595,865606,965432
12/30/2019 0:00,775167,836165,920078
12/31/2019 0:00,788224,853492,906743
1/1/2020 0:00,796603,868333,922000
1/2/2020 0:00,791592,861024,925250
1/3/2020 0:00,781492,848565,921766
1/4/2020 0:00,736207,810590,881873
1/5/2020 0:00,712350,801674,871870
1/6/2020 0:00,715663,805824,883034
1/7/2020 0:00,730808,822186,893825
