DateTime,XBOX,PS,PC
9/19/2019 0:00,686082,604816,880000
9/20/2019 0:00,817808,942100,962667
9/21/2019 0:00,938866,1092523,1143333
9/22/2019 0:00,948180,1139057,1178750
9/23/2019 0:00,929673,1107914,1175750
9/24/2019 0:00,929792,1071621,1111667
9/25/2019 0:00,898121,1010188,1181000
9/26/2019 0:00,898374,1000779,1095000
9/27/2019 0:00,872576,943770,1105000
9/28/2019 0:00,855833,967056,1065500
9/29/2019 0:00,845946,969392,1083000
9/30/2019 0:00,819407,961800,1092000
10/1/2019 0:00,825741,973917,1126200
10/2/2019 0:00,856759,1010214,1108875
10/3/2019 0:00,864320,1012933,1106750
10/4/2019 0:00,854500,984184,1014800
10/5/2019 0:00,843083,970619,1019333
10/6/2019 0:00,834000,968833,1017000
10/7/2019 0:00,835571,970037,1051857
10/8/2019 0:00,852909,1000919,1085875
10/9/2019 0:00,864500,1022133,1135813
10/10/2019 0:00,876818,1044836,1151917
10/11/2019 0:00,888982,1058143,1139822
10/12/2019 0:00,875071,1033910,1127805
10/13/2019 0:00,868700,1013744,1114720
10/14/2019 0:00,864119,1023659,1115000
10/15/2019 0:00,884217,1054477,1174250
10/16/2019 0:00,894638,1063675,1191893
10/17/2019 0:00,898978,1079241,1208957
10/18/2019 0:00,912980,1092975,1201309
10/19/2019 0:00,894122,1070173,1169224
10/20/2019 0:00,885293,1043766,1141625
10/21/2019 0:00,877857,1044026,1170071
10/22/2019 0:00,881619,1038156,1163022
10/23/2019 0:00,883262,1044844,1150419
10/24/2019 0:00,903872,1065724,1189684
10/25/2019 0:00,917325,1093520,1203400
10/26/2019 0:00,900590,1065840,1180743
10/27/2019 0:00,890200,1045138,1158865
10/28/2019 0:00,893825,1050525,1158118
10/29/2019 0:00,899605,1071632,1183318
10/30/2019 0:00,908114,1082905,1164380
10/31/2019 0:00,932676,1107775,1217176
11/1/2019 0:00,948892,1140812,1254026
11/2/2019 0:00,929026,1117914,1228349
11/3/2019 0:00,918250,1106237,1223813
11/4/2019 0:00,929108,1119468,1219408
11/5/2019 0:00,935486,1135094,1247980
11/6/2019 0:00,932600,1133625,1256237
11/7/2019 0:00,953486,1162543,1274800
11/8/2019 0:00,933472,1138545,1269614
11/9/2019 0:00,906114,1098095,1232029
11/10/2019 0:00,884710,1056273,1186100
11/11/2019 0:00,855324,1026849,1149458
11/12/2019 0:00,847857,1008518,1141227
11/13/2019 0:00,842278,1010451,1120476
11/14/2019 0:00,854441,1026788,1137842
11/15/2019 0:00,857571,1031250,1141541
11/16/2019 0:00,857000,1025988,1134548
11/17/2019 0:00,844100,1005630,1125667
11/18/2019 0:00,838861,1002465,1118018
11/19/2019 0:00,840382,1003635,1109686
11/20/2019 0:00,838118,1006738,1127365
11/21/2019 0:00,845036,1014333,1125956
11/22/2019 0:00,851619,1017147,1144412
11/23/2019 0:00,793526,938842,1078475
11/24/2019 0:00,752308,915692,1031442
11/25/2019 0:00,772897,930566,1035208
11/26/2019 0:00,783750,946295,1048167
11/27/2019 0:00,779682,946195,1060286
11/28/2019 0:00,778333,943667,1050667
11/29/2019 0:00,786897,957013,1067152
11/30/2019 0:00,806968,971728,1088537
12/1/2019 0:00,792586,953951,1067915
12/2/2019 0:00,795697,958694,1084438
12/3/2019 0:00,803222,969823,1073816
12/4/2019 0:00,812946,979877,1071150
12/5/2019 0:00,812219,978905,1076023
12/6/2019 0:00,806857,962753,1060977
12/7/2019 0:00,798286,936075,1012021
12/8/2019 0:00,791300,916627,981909
12/9/2019 0:00,762524,880764,931082
12/10/2019 0:00,743839,878460,901141
12/11/2019 0:00,747849,881446,895714
12/12/2019 0:00,755943,883706,909912
12/13/2019 0:00,767250,881602,921642
12/14/2019 0:00,747635,839214,891280
12/15/2019 0:00,707381,799590,888589
12/16/2019 0:00,689448,767843,856340
12/17/2019 0:00,674820,757060,817473
12/18/2019 0:00,681207,779844,827125
12/19/2019 0:00,690226,787179,840184
12/20/2019 0:00,690450,782692,834957
12/21/2019 0:00,685759,775321,820438
12/22/2019 0:00,680740,765963,819340
12/23/2019 0:00,682640,769026,805464
12/24/2019 0:00,685140,767014,809922
12/25/2019 0:00,673250,759750,807333
12/26/2019 0:00,686443,767370,809844
12/27/2019 0:00,697153,778893,825451
12/28/2019 0:00,679265,749541,815939
12/29/2019 0:00,644608,689974,782620
12/30/2019 0:00,595649,650949,744964
12/31/2019 0:00,600500,668542,732512
1/1/2020 0:00,599113,674784,743707
1/2/2020 0:00,605203,677188,738191
1/3/2020 0:00,603772,672305,734364
1/4/2020 0:00,572402,632301,699054
1/5/2020 0:00,545298,622535,681519
1/6/2020 0:00,560089,640851,705650
1/7/2020 0:00,583529,666273,736033
