DateTime,XBOX,PS,PC
9/19/2019 0:00,688628,567765,802000
9/20/2019 0:00,666753,798373,720000
9/21/2019 0:00,704256,817942,945000
9/22/2019 0:00,703031,869556,896000
9/23/2019 0:00,719851,870722,833500
9/24/2019 0:00,714000,840578,909500
9/25/2019 0:00,692690,783851,874250
9/26/2019 0:00,681358,767054,811000
9/27/2019 0:00,665322,713949,792500
9/28/2019 0:00,648742,732441,802500
9/29/2019 0:00,650545,739860,858333
9/30/2019 0:00,641542,724826,796000
10/1/2019 0:00,649720,737071,814000
10/2/2019 0:00,672615,770846,861571
10/3/2019 0:00,689917,777907,845750
10/4/2019 0:00,685500,759596,827000
10/5/2019 0:00,683000,755969,825000
10/6/2019 0:00,690500,765069,836500
10/7/2019 0:00,699538,784963,837833
10/8/2019 0:00,730000,823806,881667
10/9/2019 0:00,767190,851678,933091
10/10/2019 0:00,786372,875963,955542
10/11/2019 0:00,797712,889638,960326
10/12/2019 0:00,781429,878110,980256
10/13/2019 0:00,781500,877750,983520
10/14/2019 0:00,792581,895867,984321
10/15/2019 0:00,805898,928622,1000273
10/16/2019 0:00,819939,944609,1040237
10/17/2019 0:00,849133,967000,1065927
10/18/2019 0:00,871473,984640,1089905
10/19/2019 0:00,845171,971813,1061019
10/20/2019 0:00,836578,967955,1074651
10/21/2019 0:00,844750,973946,1062614
10/22/2019 0:00,855190,989890,1069029
10/23/2019 0:00,852913,980163,1072985
10/24/2019 0:00,857921,984597,1090855
10/25/2019 0:00,868733,1003258,1135180
10/26/2019 0:00,852103,990523,1123831
10/27/2019 0:00,836667,978387,1111351
10/28/2019 0:00,841333,985029,1086762
10/29/2019 0:00,852250,993611,1107488
10/30/2019 0:00,851235,995230,1106854
10/31/2019 0:00,865444,1010055,1140568
11/1/2019 0:00,880474,1042095,1165271
11/2/2019 0:00,872111,1028309,1142574
11/3/2019 0:00,865973,1017410,1119731
11/4/2019 0:00,870541,1042818,1157167
11/5/2019 0:00,880308,1066967,1161831
11/6/2019 0:00,878353,1072628,1164070
11/7/2019 0:00,890171,1086171,1195595
11/8/2019 0:00,874861,1061788,1186042
11/9/2019 0:00,863206,1041899,1162854
11/10/2019 0:00,835594,1012675,1149787
11/11/2019 0:00,831000,1004275,1123426
11/12/2019 0:00,836229,1000980,1143286
11/13/2019 0:00,839714,1010529,1148524
11/14/2019 0:00,851444,1037847,1183689
11/15/2019 0:00,862229,1042905,1192935
11/16/2019 0:00,861781,1046680,1196366
11/17/2019 0:00,849645,1032202,1186471
11/18/2019 0:00,848081,1044379,1189534
11/19/2019 0:00,861618,1063586,1221635
11/20/2019 0:00,873727,1077048,1242151
11/21/2019 0:00,889679,1099071,1261896
11/22/2019 0:00,899818,1109359,1288424
11/23/2019 0:00,862000,1055592,1250600
11/24/2019 0:00,838522,1046228,1213439
11/25/2019 0:00,850517,1066741,1227638
11/26/2019 0:00,860739,1079870,1248457
11/27/2019 0:00,860316,1079000,1242658
11/28/2019 0:00,858031,1074228,1243341
11/29/2019 0:00,857556,1074127,1258043
11/30/2019 0:00,855600,1060364,1236093
12/1/2019 0:00,840000,1039568,1226891
12/2/2019 0:00,842970,1039439,1210440
12/3/2019 0:00,850061,1051765,1217489
12/4/2019 0:00,860278,1067587,1225132
12/5/2019 0:00,863097,1070640,1227175
12/6/2019 0:00,847419,1052304,1215024
12/7/2019 0:00,793848,976363,1112638
12/8/2019 0:00,752651,922167,1033783
12/9/2019 0:00,721687,893000,986742
12/10/2019 0:00,702937,885882,952567
12/11/2019 0:00,699750,881314,949203
12/12/2019 0:00,709948,884977,971373
12/13/2019 0:00,709373,869727,958150
12/14/2019 0:00,691831,824988,907000
12/15/2019 0:00,673839,796602,884140
12/16/2019 0:00,669517,791430,879291
12/17/2019 0:00,673381,798866,884455
12/18/2019 0:00,685305,821802,889273
12/19/2019 0:00,686556,819338,894440
12/20/2019 0:00,675475,804481,887044
12/21/2019 0:00,655255,788244,848353
12/22/2019 0:00,627640,760430,833769
12/23/2019 0:00,629686,762500,810906
12/24/2019 0:00,627979,757197,796922
12/25/2019 0:00,621941,755500,805318
12/26/2019 0:00,637062,765476,814160
12/27/2019 0:00,652833,782158,829558
12/28/2019 0:00,643071,759893,809648
12/29/2019 0:00,625167,703066,785549
12/30/2019 0:00,597028,679975,738929
12/31/2019 0:00,606028,700514,738683
1/1/2020 0:00,606500,706792,754816
1/2/2020 0:00,610145,708075,762611
1/3/2020 0:00,602825,695721,744500
1/4/2020 0:00,561843,656847,717925
1/5/2020 0:00,544952,663071,703944
1/6/2020 0:00,556141,673136,715117
1/7/2020 0:00,565444,685941,749270
