DateTime,XBOX,PS,PC
9/19/2019 0:00,510571,354848,680000
9/20/2019 0:00,447013,527828,577500
9/21/2019 0:00,497218,584375,645333
9/22/2019 0:00,554989,622513,728333
9/23/2019 0:00,518084,603631,688333
9/24/2019 0:00,523061,577476,708333
9/25/2019 0:00,514925,558000,700667
9/26/2019 0:00,500723,549286,729750
9/27/2019 0:00,476620,509231,627000
9/28/2019 0:00,475103,534500,724667
9/29/2019 0:00,489647,557244,694750
9/30/2019 0:00,480720,552787,682800
10/1/2019 0:00,486750,563436,665750
10/2/2019 0:00,510680,583000,695200
10/3/2019 0:00,516762,581550,711667
10/4/2019 0:00,507095,574911,708500
10/5/2019 0:00,499375,565759,717143
10/6/2019 0:00,498000,565111,703167
10/7/2019 0:00,507091,575364,715250
10/8/2019 0:00,531375,594115,778250
10/9/2019 0:00,540973,603075,799182
10/10/2019 0:00,556304,612441,805750
10/11/2019 0:00,563216,614692,787963
10/12/2019 0:00,564350,604947,810448
10/13/2019 0:00,542972,595690,769757
10/14/2019 0:00,551474,603918,773837
10/15/2019 0:00,561757,618028,791588
10/16/2019 0:00,569846,630141,804000
10/17/2019 0:00,599463,662493,820368
10/18/2019 0:00,605024,673486,839925
10/19/2019 0:00,605725,665324,840027
10/20/2019 0:00,598632,657014,867429
10/21/2019 0:00,595343,659778,873406
10/22/2019 0:00,591132,664493,899789
10/23/2019 0:00,582385,646548,877667
10/24/2019 0:00,598235,656450,883100
10/25/2019 0:00,610818,662567,886148
10/26/2019 0:00,587424,657279,879040
10/27/2019 0:00,580432,647754,865107
10/28/2019 0:00,587297,649556,883919
10/29/2019 0:00,594559,657597,910462
10/30/2019 0:00,593103,661056,907800
10/31/2019 0:00,605912,672563,885621
11/1/2019 0:00,605297,670766,864912
11/2/2019 0:00,590571,653902,843879
11/3/2019 0:00,577088,639651,841912
11/4/2019 0:00,580108,640585,813176
11/5/2019 0:00,580270,641200,809500
11/6/2019 0:00,576029,638015,802462
11/7/2019 0:00,587771,645033,797286
11/8/2019 0:00,579441,633766,781433
11/9/2019 0:00,575714,615938,772719
11/10/2019 0:00,560606,601578,776107
11/11/2019 0:00,548167,594697,753179
11/12/2019 0:00,536389,592509,740650
11/13/2019 0:00,534971,594558,740080
11/14/2019 0:00,553559,607523,748615
11/15/2019 0:00,553171,606954,768826
11/16/2019 0:00,537273,590154,768316
11/17/2019 0:00,510103,576375,747421
11/18/2019 0:00,504714,580743,747474
11/19/2019 0:00,511912,584041,759250
11/20/2019 0:00,512636,585092,768189
11/21/2019 0:00,518846,591191,760308
11/22/2019 0:00,518188,589817,759333
11/23/2019 0:00,480500,549109,719111
11/24/2019 0:00,474737,546984,707545
11/25/2019 0:00,481870,560197,725265
11/26/2019 0:00,491056,567400,733120
11/27/2019 0:00,487500,564531,737458
11/28/2019 0:00,494583,575871,749458
11/29/2019 0:00,495391,580015,738057
11/30/2019 0:00,517680,593600,757486
12/1/2019 0:00,523231,600261,761135
12/2/2019 0:00,521719,600507,765375
12/3/2019 0:00,539750,616487,764930
12/4/2019 0:00,540895,619623,772682
12/5/2019 0:00,542143,617744,769091
12/6/2019 0:00,538903,614474,755405
12/7/2019 0:00,524464,591455,709833
12/8/2019 0:00,511697,573465,688568
12/9/2019 0:00,501188,565811,671220
12/10/2019 0:00,501574,563528,675756
12/11/2019 0:00,498095,561194,668000
12/12/2019 0:00,499833,552600,650767
12/13/2019 0:00,507532,551082,640371
12/14/2019 0:00,495537,527090,595500
12/15/2019 0:00,475654,509838,600308
12/16/2019 0:00,472723,507239,600200
12/17/2019 0:00,472612,501532,597313
12/18/2019 0:00,460702,491406,593880
12/19/2019 0:00,469318,502852,591900
12/20/2019 0:00,475543,506133,601767
12/21/2019 0:00,479929,509672,597000
12/22/2019 0:00,458775,488484,588971
12/23/2019 0:00,436357,466786,556432
12/24/2019 0:00,422657,448246,541577
12/25/2019 0:00,406429,439100,542739
12/26/2019 0:00,419769,454850,543138
12/27/2019 0:00,434846,462651,546121
12/28/2019 0:00,421315,443444,514968
12/29/2019 0:00,404455,415113,490914
12/30/2019 0:00,392850,396986,466659
12/31/2019 0:00,395950,405516,469313
1/1/2020 0:00,397545,409381,486852
1/2/2020 0:00,402932,416150,489351
1/3/2020 0:00,408755,428963,489439
1/4/2020 0:00,392934,406950,484617
1/5/2020 0:00,374676,400683,475058
1/6/2020 0:00,370727,399184,471019
1/7/2020 0:00,383676,406709,470298
